15:53:00 28/3/2025, 26.20,25.00
15:53:06 28/3/2025, 26.20,25.00
15:53:11 28/3/2025, 26.20,25.00
16:11:45 28/3/2025, 26.20,25.00
16:11:51 28/3/2025, 26.20,25.00
16:11:57 28/3/2025, 26.20,25.00
16:12:04 28/3/2025, 41.70,25.00
16:12:10 28/3/2025, 41.70,25.00
16:12:22 28/3/2025, 41.70,25.00
16:12:53 28/3/2025, 41.70,25.00
16:13:00 28/3/2025, 41.70,25.00
16:13:07 28/3/2025, 41.70,25.00
16:13:14 28/3/2025, 41.70,25.00
16:13:21 28/3/2025, 41.70,25.00
16:13:28 28/3/2025, 41.70,25.00
16:13:34 28/3/2025, 41.70,25.00
16:13:40 28/3/2025, 41.70,25.00
16:13:46 28/3/2025, 41.70,25.00
16:13:52 28/3/2025, 41.70,25.00
16:13:58 28/3/2025, 41.70,25.00
16:15:52 28/3/2025, 41.70,25.00
16:15:58 28/3/2025, 41.70,25.00
16:16:05 28/3/2025, 41.70,25.00
16:16:12 28/3/2025, 24.70,25.00
16:16:18 28/3/2025, 24.70,25.00
16:16:25 28/3/2025, 24.70,25.00
16:16:31 28/3/2025, 24.70,25.00
16:21:11 28/3/2025, 24.70,25.00
16:21:17 28/3/2025, 24.70,25.00
16:21:23 28/3/2025, 24.70,25.00
16:21:29 28/3/2025, 24.70,25.00
16:21:35 28/3/2025, 24.70,25.00
16:21:41 28/3/2025, 24.70,25.00
16:21:47 28/3/2025, 24.70,25.00
16:30:49 28/3/2025, 24.70,25.00
16:30:56 28/3/2025, 24.70,25.00
16:31:06 28/3/2025, 24.70,25.00
16:31:14 28/3/2025, 24.70,25.00
16:35:40 28/3/2025, 26.20,25.00
16:35:46 28/3/2025, 26.20,25.00
16:35:51 28/3/2025, 26.20,37.50
16:35:57 28/3/2025, 26.20,37.50
16:36:03 28/3/2025, 26.20,37.50
16:36:10 28/3/2025, 26.20,37.50
16:41:05 28/3/2025, 26.20,37.50
16:41:18 28/3/2025, 26.20,37.50
16:41:24 28/3/2025, 26.20,37.50
16:42:53 28/3/2025, 26.20,37.50
16:43:09 28/3/2025, 26.20,37.50
16:43:17 28/3/2025, 26.20,37.50
16:43:23 28/3/2025, 26.20,37.50
16:43:29 28/3/2025, 26.20,37.50
16:43:35 28/3/2025, 26.20,35.00
16:43:41 28/3/2025, 26.20,35.00
16:43:48 28/3/2025, 26.20,35.00
16:43:53 28/3/2025, 26.20,35.00
16:44:00 28/3/2025, 26.20,35.00
16:44:08 28/3/2025, 26.20,35.00
16:44:15 28/3/2025, 26.20,35.00
16:44:22 28/3/2025, 26.20,35.00
16:45:19 28/3/2025, 26.20,35.00
16:45:25 28/3/2025, 26.20,35.00
16:45:31 28/3/2025, 26.20,35.00
16:45:38 28/3/2025, 26.20,35.00
16:45:46 28/3/2025, 26.20,35.00
16:45:52 28/3/2025, 26.20,35.00
16:45:59 28/3/2025, 26.20,35.00
16:49:09 28/3/2025, 26.20,25.00,
16:49:11 28/3/2025, 26.20,25.00,
16:49:13 28/3/2025, 26.20,25.00,
16:49:14 28/3/2025, 26.20,25.00,
16:49:16 28/3/2025, 26.20,25.00,
16:49:18 28/3/2025, 26.20,25.00,
16:49:20 28/3/2025, 26.20,25.00,
16:49:22 28/3/2025, 26.20,25.00,
16:49:24 28/3/2025, 26.20,25.00,
16:49:26 28/3/2025, 26.20,25.00,
16:49:27 28/3/2025, 26.20,25.00,
16:49:29 28/3/2025, 26.20,25.00,
16:49:31 28/3/2025, 26.20,25.00,
16:49:33 28/3/2025, 26.20,25.00,
16:49:35 28/3/2025, 26.20,25.00,
16:49:37 28/3/2025, 26.20,25.00,
16:54:23 3/4/2025, 40.00,37.50,21
16:54:30 3/4/2025, 40.00,37.50,9
16:54:36 3/4/2025, 40.00,37.50,89
16:54:42 3/4/2025, 40.00,37.50,78
16:54:49 3/4/2025, 40.00,37.50,93
16:54:56 3/4/2025, 40.00,37.50,6
16:55:03 3/4/2025, 40.00,37.50,98
17:01:56 3/4/2025, 40.00,37.50,71
17:02:02 3/4/2025, 40.00,37.50,14
17:02:09 3/4/2025, 40.00,37.50,22
17:02:15 3/4/2025, 40.00,37.50,22
17:02:21 3/4/2025, 40.00,37.50,27
17:02:27 3/4/2025, 40.00,37.50,66
17:02:34 3/4/2025, 40.00,37.50,41
17:02:40 3/4/2025, 40.00,37.50,77
16:31:27 5/4/2025, 26.20,25.00,77
16:31:43 5/4/2025, 26.20,25.00,2
16:32:08 5/4/2025, 26.20,25.00,2
16:32:18 5/4/2025, 26.20,25.00,34
